time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-12-17T01:18:53.700Z,43.1153333,-124.8546667,30.782,2.96,ml,15,278,0.8654,0.41,uw,uw60938712,2022-07-27T10:45:21.499Z,"36 km W of Bandon, Oregon",earthquake,1.67,2.42,0.132,21,reviewed,uw,uw
2014-11-12T11:50:43.620Z,44.1543333,-122.8928333,7.461,2.59,ml,17,65,0.07974,0.18,uw,uw60914012,2022-07-27T07:29:02.668Z,"14 km E of Coburg, Oregon",earthquake,0.36,1.47,0.182,44,reviewed,uw,uw
2014-10-27T07:41:41.010Z,44.3745,-124.4351667,29.62,2.95,ml,24,229,0.3737,0.29,uw,uw60910381,2016-07-22T19:40:36.650Z,"27 km WNW of Yachats, Oregon",earthquake,1.18,31.61,0.168,47,reviewed,uw,uw
2014-09-25T18:11:40.780Z,44.0688333,-121.3331667,-1.66,2.75,md,8,173,0.004403,0.14,uw,uw60886861,2016-07-22T19:38:37.320Z,"1 km NW of Bend, Oregon",explosion,0.84,31.61,0.306,7,reviewed,uw,uw
2014-09-24T15:17:32.450Z,45.1385,-122.6191667,28.561,2.65,ml,18,93,0.1202,0.1,uw,uw60886161,2022-07-27T02:51:49.928Z,"3 km WSW of Molalla, Oregon",earthquake,0.3,0.6,0.187,47,reviewed,uw,uw
2014-09-24T11:59:40.470Z,44.8245,-123.7935,53.375,2.75,ml,23,133,0.2696,0.35,uw,uw60885986,2016-07-22T19:38:35.490Z,"15 km NE of Siletz, Oregon",earthquake,0.88,1.36,0.148,76,reviewed,uw,uw
2014-09-04T08:52:01.220Z,45.3665,-121.7138333,2.193,2.56,ml,32,58,0.03088,0.2,uw,uw60869306,2022-07-27T00:38:13.387Z,"7 km NNE of Government Camp, Oregon",earthquake,0.25,0.8,0.165,62,reviewed,uw,uw
2014-07-14T22:35:06.650Z,44.0958333,-121.3558333,-1.465,2.53,ml,12,133,0.03542,0.3,uw,uw60817807,2016-07-22T19:32:07.950Z,"5 km NW of Bend, Oregon",explosion,1.25,31.61,0.216,10,reviewed,uw,uw
2014-04-18T21:04:20.110Z,44.0218333,-121.2465,-1.533,2.83,md,9,187,0.07384,0.15,uw,uw60744651,2016-07-22T19:27:37.470Z,"6 km SE of Bend, Oregon",explosion,1.1,31.61,0.275,7,reviewed,uw,uw
2014-04-07T03:33:12.630Z,45.3975,-122.9041667,19.387,3.32,ml,39,39,0.1022,0.12,uw,uw60733657,2022-08-06T23:03:27.608Z,"6 km NW of Sherwood, Oregon",earthquake,0.2,0.41,0.211,128,reviewed,uw,uw
